prompt,completion
Why does pH rise suddenly when poultry manure is applied to get a bloom? How to control pH in such a situation?,Too much manure in a single dose can raise the pH suddenly. Reduced quantity of manure applied in 2-4 split dosages and subsequent addition of some water into the pond can control this situation.
How to reduce ammonia and what level kills shrimps at high pH values?,"The most cost effective way to dilute any toxic condition, especially ammonia in the pond is to exchange some water. This will also reduce the water pH at the same time by diluting the bloom. The level of total ammonia nitrogen should not be higher than 1 ppm at pH value of 8.5."
During rains the water temperature reduces and shrimps come to the sides. Why? And how to avoid it?,"The problem is caused by the cloudy sky that leads to reduced oxygen levels in the pond water. The feed consumption by shrimp gets reduced due to lower temperature. Therefore, feed quantity should be reduced and water exchange should be done if the water is too green in color."
Is it good to use some fishes in shrimp ponds? If yes why? Which species and how many numbers should be introduced?,"Fish can be used in later stages of culture (after 60 days) for feeding on the plankton and benthic algae. In Thailand, 3,000-5,000 fry (1-2 cm.) of Tilapia are stocked in 1 ha. If the fish are big, then they can be stocked in cages. Some species like sea bass can eat the dead shrimp in the pond, which may help in reducing the transmission of virus from dead to live shrimp by avoiding cannibalism."
"For water exchange, which time of the day is suitable?",Time does not make much difference. It can be done at any time as convenient to the farmer.
Why is there a sudden collapse of bloom after 30 days of culture?,"For a healthy bloom to be maintained, it requires nutrients, carbon dioxide and sunlight. After around 30 days of culture the bloom develops heavily due to the availability of all three components. Due to heavy bloom the sunlight is prevented from penetrating the lower column of water thus leading to oxygen deficiency and death of plankton present in the lower column of water. This condition leads to collapse of the bloom."
How to control blue-green algae (filamentous/slime forming species) in low saline waters?,"Water exchange is the most cost effective method. In cases where water exchange is not possible, aeration should be stopped during the strong sunlight period. This will allow the plankton to float on the surface where it will get pushed to the pond corner by the wind. The algae can be removed, or an algicide may be used in that corner of the pond to kill the algae. This is a low cost treatment method and safe for the shrimp since the chemical will be applied only to a small area. Repetition of this treatment may be necessary if the algae persists."
How to control filamentous algae?,"In reservoirs, the phytoplankton bloom should be developed initially before shifting it to the grow-out ponds. Avoid using disinfecting agents in both reservoir and grow-out ponds."
How to control benthic algae?,Initially culture the plankton in a reservoir and then shift the bloomed water to grow-out ponds. Avoid clear water at stocking by adding fertilizer as required. Even after these measures if the benthic algae develops then drag a heavy iron chain along pond bottom to dislodge the algae from the soil surface and then remove the floating benthic algae using a hand net.
What is the reason for excessive algal bloom in the pond?,Mainly because of higher nutrient levels in the pond and less water exchange.
"PL from the same hatchery tank were stocked in the same nursery pond and then distributed to 5 grow-out ponds. At the end of the crop, 3 ponds faced disease outbreaks and 2 ponds were harvested without disease problems. Why?","Disease outbreak not only depends on the seed quality but also on the individual pond management practices. Infected shrimp may not die at the same time in all the ponds. There may be a possibility that the 2 ponds with good harvests might have been managed better, leading to reduced stressed conditions in the pond."
What is LSS ? How can it be prevented from the beginning?,"This is €œloose shell syndrome€ and is usually caused by chronic bacterial infection. The primary causes of this infection are toxic conditions at the pond bottom. This is mainly related to clear water with benthic or filamentous algae. Over feeding and high organic matter in the soil can also cause bad pond conditions and lead to the infection. To reduce the risk of this problem, pond bottom sludge should be removed during pond preparation. Maintaining green color water as well as better feed management to prevent benthic algae and pond bottom deterioration can also reduce the risk."
What is vibriosis? What are the clinical signs? How to prevent the disease?,"Vibriosis is an infectious disease caused by Vibrio bacteria. The acute infection usually occurs when shrimps are one month old. Therefore, sometimes the farmers call it as one-month mortality syndrome. In higher salinity areas, the severity of this problem is usually greater and is caused by luminous species of bacteria. In this case the farmer may call the problem luminescent vibriosis. The clinical sign is not obvious. The sick shrimp is usually pale or darker color, with no feed in the gut. Sometime the problem is associated with soft shell. In later stages of the production cycle, the infection seems to be a chronic type. This is usually associated with loose shell syndrome. To prevent the infection, the pond should be prepared well and the green color must be maintained to prevent benthic algae. The pond bottom condition must be kept clean to prevent high organic matter accumulation."
Can antibiotics control the white spot disease outbreaks?,Viral diseases in shrimps cannot be treated by antibiotics.
"In shrimp nurseries, cutting insects are present and kill the PL. How to control them?",Spread palm oil over the water surface at the rate of 15- 20 litres/ha in the evening hours.
Can L.vannamei be farmed along with other indigenous species?,"No, farms approved for L.vannamei culture are not permitted for simultaneous farming of any other curstacean species in the same farm."
What is the permitted stocking density for culture of L.vannamei?,Stocking densities should not exceed 60 no./sq.mt
What is the role of a Business admin in BluBay ?,"Business admin is responsible for the all administrative activities like Infra creation, Inventory item creation, role creation and assignments for the entire Farm business from web application."
What is the role of a Farm owner in BluBay?,"Farm owner is responsible for the all activities and overview the system process for the entire Farm business, including all locations."
What is the role of a Farm manager in BluBay?,Farm manger is responsible for the all activities and overview the system process for one of the assigned location under the Farm business.
What is the role of a Farm Technician in BluBay?,"Farm technician is responsible for the all activities like feeding, treatment, & etc.. for the assigned farm section in a farm site."
Can Admin create multiple Farm owner logins for a single Farm business?,"Yes, Admin can create multiple farm owner logins for a single farm business. However, single farm owner login is preferred based on the business model."
Can multiple Farm manager logins created for a single location in BluBay?,"Yes, in Blubay each location can have multiple manager logins."
Can each farm manager have multiple farm sites in Blubay?,"Yes, in Blubay each farm manager can have multiple farm site assignement."
What does Blubay do?,"1. Efficient data management with digitized farms for centralized data control, reporting and analytics.
2. Harness the power of data based on Feed Protocols and Feeding Regimes to design feed formulations tailored to your shrimp's specific needs.
3. Enable seamless SME communication and Culture advisory with €˜Aquatoq.
4. Simplify seed procurement, enhance record-keeping services."
What are the exclusive activities involved or offered by BluBay?,"Feed, Treatment, Observation, Water quality, Sampling, Shifting, Abort, & Seed sourcing are the basic activities involved/offered by Blubay regular version."
What are the Basic activities involved/offered in the Blubay premium user?,"Culture estimate calculator, Market connect for seed sourcing, Aqutoq, Farm management, Blubot-chat support, Inventory control."
Which type of farmer model avail this BluBay?,"Blubay supports Small, Medium, & Corporate farmers."
What are the exclusive KPI's provided in Blubay?,"Total Biomass (TBM), Present Biomass, Harvested Biomass, Consumption, Survival rate, ABW, FCR, ADG, Total exp per each pond, & Production cost/kg, are the exclusive KPI's provided in BluBay"
Does BluBay supports batch wise and as well section wise activities?,"No, BluBay supports only Section wise activities."
Does BluBay supports pond wise and as well section wise Feed entry?,"Yes, BluBay supports both pond & section wise feed entries."
Does BluBay supports pond wise and as well section wise Treatment entry?,"Yes, BluBay supports both pond & section wise treatment entries."
Does BluBay supports pond wise and as well section wise Water quality entry?,"No, BluBay supports only pond wise water quality data entry."
Does BluBay supports pond wise and as well section wise Sampling entry?,"No, BluBay supports only pond wise sampling data entry."
Does BluBay supports pond wise and as well section wise Observation entry?,"No, BluBay supports only pond wise observation data entry."
Does BluBay supports pond wise and as well section wise Harvest entry?,"No, BluBay supports only pond wise harvest data entry."
Does Feeding in BluBay allow multi meal per day?,"Yes, BluBay allow multi meal feeding in a day."
Does Feeding in Blubay allow multi day entry?,"Yes, BluBay allow multi day feeding in a single entry."
Does Feeding in BluBay allow the edit/update/delete the entry?,"Yes, BluBay allow edit/update feed entries in current day only, delete function not allowed."
Does BluBay allow multi treatment in a day?,"Yes, BluBay allow multi treatments entry in a day."
Does Treatments in BluBay allow multi day entry?,"Yes, BluBay allow multi day treatments in a single entry."
Does Treatment in BluBay allow the edit/update/delete the entry?,"Yes, BluBay allow edit/update Treatment entries in current day only, delete function not allowed."
Does BluBay allow multi Observations in a day?,"Yes, BluBay allow multi observations entry in a day."
Does Observations in Blubay allow multi day entry?,"No, BluBay not allow multi day observations in a single entry."
Does Observations in BluBay allow the edit/update/delete the entry?,"Yes, BluBay allow edit/update Observation entries in current day only, delete function not allowed."
Does Water quality in BluBay allow multi entry in a day?,"Yes, Blubay allow multi entries in water quality in a day."
Does Water quality in BluBay allow multi day entry?,"No, BluBay not allow multi day water quality entries in a single entry."
Does water quality in BluBay allow the edit/update/delete the entry?,"Yes, BluBay allow edit/update Waterquality entries in current day only, delete function not allowed."
Does Sampling entry in Blubay allow multi entry in a day?,"Yes, BluBay allow multiple sampling entries in a day."
Does Sampling in BluBay allow multi day entry?,"No, BluBay not allow multiple day sampling entries in a single entry."
Does Sampling in BluBay allow the edit/update/delete the entry?,"Yes, BluBay allow edit/update sampling entries in current day only, delete function not allowed."
Does Harvest entry in Blubay allow multi entry in a day?,"Yes, BluBay allow multiple harvest entries in a day."
Does Harvest in BluBay allow multi day entry?,"No, BluBay not allow multiple day harvest entries in a single entry."
Does Harvest in BluBay allow the edit/update/delete the entry?,"Yes, BluBay allow edit/update harvest entries in current day only, delete function not allowed."
Does BluBay allow post dated Feed meal entries?,"Yes, BluBay allow post dated feed meal entries."
Does BluBay allow post dated Treatment entries?,"Yes, BluBay allow post dated treatment entries."
Does BluBay allow post dated Observation entries?,"Yes, BluBay allow post dated observation entries."
Does BluBay allow post dated Water quality entries?,"Yes, BluBay allow post dated water quality entries."
Does BluBay allow post dated Sampling entries?,"Yes, BluBay allow post dated sampling entries."
Does BluBay allow post dated Harvest entries?,"Yes, BluBay allow post dated harvest entries."
Does BluBay allow post dated pond shift functionality?,"No, BluBay not allow the post dated pond shift functionality."
Does BluBay allow post dated pond culture close functionality?,"Yes, BluBay allow the post dated pond culture close functionality."
Does Pond culture close in BluBay allow the edit/update/delete the entry?,"No, BluBay not allow edit/update/delete the pond culture close entries."
Does BluBay allow post dated Pond creation/addition?,"Yes, BluBay allow post dated pond creation/addition."
Does BluBay allow post dated Pond-Culture creation/addition?,"Yes, BluBay allow post dated pond-culture creation/addition."
Does BluBay allow multiple pond cultures running simultaneously in a section or farmsite?,"Yes, Blubay allow multiple pond cultures running simultaneously in a section or farmsite."
What types of shrimp species does BluBay support?,"BluBay supports a wide range of shrimp species commonly used in farms, including whiteleg shrimp, black tiger shrimp, and Scampi."
What types of fish species does BluBay support?,"BluBay supports a wide range of fish species commonly used in farms, including Common carps, Other carps, Pangasius, Tilapia, Roopchanda, etc..."
"In BluBay, each farm business consists of?",In BluBay each farm business consists of multiple farm site locations.
"In BluBay, each farm site Location consists of?",In BluBay each Farm site Location consists of multiple sections.
"In BluBay, each section consists of?",In BluBay each Section consists of multiple Ponds.
Does BluBay have the mechanism to capture inventory items?,"Yes, BluBay have the mechanism to capture inventory item master."
Does BluBay have the mechanism to capture expense items?,"Yes, BluBay have the mechanism to capture expense item master."
Does BluBay have the mechanism to produce in-app notifications?,"Yes, BluBay have the in-app notifications."
Does BluBay have the mechanism to capture vendors?,"Yes, BluBay have the mechanism to capture vendor master."
Does BluBay have the mechanism to capture all inventory transactions?,"Yes, BluBay have the mechanism to capture inventory transactions."
What are the inventory transactions involved in the BluBay?,"Transfer/Return, Miscellaneous, Issue, Balance migration, & Purchases are the inventory transactions involved in the BluBay."
Does BluBay have the mechanism to capture all expense transactions?,"Yes, BluBay have the mechanism to capture expense transactions."
What are the expense transactions involved in the BluBay?,Reversal & Issue are the expense transactions involved in the BluBay.
Does BluBay allow post dated inventory transactions?,"Yes, BluBay allow the post dated inventory transactions."
Does BluBay allow post dated expense transactions?,"Yes, BluBay allow the post dated expense transactions."
Does BluBay allow Section/Tank specified expense transactions?,"Yes, BluBay allow the Section/Tank specified expense transactions."
Does BluBay have the Petty cash functionality?,"No, BluBay don't have the Petty cash functionality."
Does BluBay allow the attachments when the time of doing inventory transactions?,"Yes, BluBay allow the attachments when the time of doing inventory transactions."
Does BluBay allow the attachments when the time of doing expense transactions?,"Yes, BluBay allow the attachments when the time of doing expense transactions."
Does BluBay allow the transactions of capital expense?,"Yes, BluBay allow the transactions of capital expense."
Does BluBay allow the transactions of operating expense?,"Yes, BluBay allow the transactions of operating expense."
Does BluBay allow the multiline inventory transactions on same date?,"Yes, BluBay allow the multiline inventory transactions on same date."
Does BluBay allow the multiline expense transactions on same date?,"No, BluBay not allow the multiline expense transactions on same date."
Does BluBay allow the payment transactions to Vendors?,"Yes, BluBay allow the payment transactions to vendors. But, no payment gateway involved."
Does BluBay provides spend of each pond in the farm?,"Yes, BluBay provides spend of each pond in the farm."
Does BluBay provide the reports?,"Yes, BluBay provides multiple types of reports."
Typically what type of reports does BluBay provides?,BluBay provides both MTL & Performance related reports.
What are the MTL related reports provided by BluBay?,"Material Transactions, Batch Transactions, Material movement report, Transactions report, Payment report, Farm spend analysis, & Payments transaction report are provided by BluBay."
What are the Performance related reports provided by BluBay?,"Culture summary, Pond summary, Day summary, & Traceability reports are provided by BluBay."
Does BluBay allow the reports to be exported to Excel or any other format?,"Yes, BluBay allow all the reports to be exported to Excel format."
Does BluBay have the Shift functionality?,"Yes, BluBay have the shift functionality."
Does BluBay provide process data for running culture pond?,"Yes, BluBay provides process data for running culture pond in Pond summary report."
Does BluBay provide process data for closed culture pond?,"Yes, BluBay provides process data for closed culture pond in Culture summary report."
What is the main use of Market connect in BluBay?,"In BluBay, using Market connect farmers get the seed availability postings from hatcheries & nurseries in BluH."
Does BluBay provide cost of production for each pond?,"Yes, BluBay provides production cost for each pond."
What is the role of a SME in BluBay?,"SME in Blubay have the privilege to view the Farm/Sec/Pond KPI's along with the image/video observations in AQUTOQ screen, and provide his comments/recommendations to farm person using chat screen."
What is the role of a Farm Invester in BluBay?,"Farm invester in Blubay have the privilege to review MTL side information like Farm spend, Onhand inventories, Cost of production/pond, etc.."
Does SME have both Web & Mobile app privilege in Blubay?,"No, in BluBay SME have Mobile app privilege only."
Does Farm Invester have both Web & Mobile app privilege in Blubay?,"No, in BluBay Farm invester have Mobile app privilege only."
Does Farm Owner have both Web & Mobile app privilege in Blubay?,"Yes, in BluBay Farm owner have both Web & Mobile app privilege."
Does Farm Manager have both Web & Mobile app privilege in Blubay?,"Yes, in BluBay Farm Manager have both Web & Mobile app privilege."
Does Farm technician have both Web & Mobile app privilege in Blubay?,"No, in BluBay Farm technician have Mobile app privilege only."
Does Business admin have both Web & Mobile app privilege in Blubay?,"No, in BluBay Business admin have Web app privilege only."
Does BluBay provides any analytics regarding any KPI's?,"Yes, BluBay provides Feed, Growth, & Water quality analytics in Web application."
Does BluBay allow customised Feed rate assignments?,"Yes, BluBay allow customised Feed Rate assignments. "
Does BluBay gives the Smart meal suggestions on a daily basis?,"Yes, BluBay provides the Smart meal suggestions on a daily basis."
In BluBay what factors are deciding Smart meal suggestions?,"In BluBay; Lunar calendar, Weather, Last day feed, & Checktray are the factors deciding the Smart meal suggestions."
Does BluBay provide any comparison graphs for the KPI's?,"Yes, BluBay provides the Actual vs Projected feed, DOC vs consumed feed, & DOC vs Growth graphs."
Does BluBay provide any graphical representation for the Metrics?,"Yes, BluBay provides graphical representation to Pond, Feed, Density, Harvest, Water quality, & Sampling metrics."
What happens if running Pond is shfted to another pond in BluBay?,"In BluBay, if running pond is shifted to another pond, it transfers MTL expense related transactions, & Process related transactions like TBM, SR%, FCR, Stocking number, etc.."
Does Culture calculator provide the estimates for the required count in BluBay.,"Yes, culture calculator in BluBay provides the estimates based on the entered count. "
Does Culture calculator provides the estimated Cost of Production per pond level?,"Yes, culture calculator in BluBay provides the estimated cost of production per pond."
How many days of pond drying between two cultures is required in P. vannamei farming?,"After the final harvest of a crop, sun drying of pond bottom for 3-4 weeks is essential till it cracks or loses its moisture content. Drying and cracking of pond bottom helps in microbial decomposition of soil organic matter and mineralization of organic nutrients (nitrogen and phosphorus). If the previous
culture was affected by white spot syndrome virus, it has been observed that the virus remains in the soil for 19-21days in drainable ponds whereas in case of non-drainable ponds, it remained infective for 35 days. In such cases, 5-6 weeks of drying is recommended to eradicate the pathogens. Moreover, screening of pond sediment is also essential to detect the presence of viral pathogens in such ponds. Further, investigations on duration of
drying period revealed that farms practicing drying duration of 3, 5 and 10 days were affected with RMS and white gut diseases and harvested within 60 to 70 days of stocking whereas the farms that adopted a drying period of 30 and 45 days had successful harvest."
What measures need to be taken to disinfect the pond bottom in case of non-drainable ponds?,"In case of completely non-drainable ponds, the accumulated black soil in the pond bottom is flushed in the form of thin slurry using a sludge pump. Organic biodegradable piscicides like Mahua Oil Cake (100-150 ppm) or Tea Seed Cake (15-20 ppm) or chlorine @ 20 ppm can be used for elimination of unwanted organisms. Formalin or potassium permanganate or povodine iodine can also be used to kill the bacteria and external parasites as these compounds are degradable within the system and do not cause water pollution. Calcium Oxide (CaO) is recommended for enhancing the oxidation of organic matter and also is a disinfectant."
Is scraping of pond bottom essential? What would happen if a farmer does not do so?,"Organic wastes in the form of a black layer at the pond bottom is formed due to the accumulation of decayed uneaten feed, dead and decaying plankton/algae and fecal matter of shrimp during culture. This type of waste material releases toxic organic metabolites like ammonia and hydrogen sulphide into the pond water and causes stress or death to the shrimp. Therefore this black soil layer to a level of 5-10 cm depth should be scraped and dumped away from the farm. If a farmer does not remove the black soil before starting the next crop, the possibility of having higher toxic metabolites at the pond bottom remains very high which would affect the pond environment thereby
causing stress to shrimp."
Whether ploughing before and after liming is necessary? What type of plough should be used?,"The main purpose of ploughing is to expose the black soil underneath the bottom to sunlight and atmospheric oxygen. This results in the organic wastes in the pond bottom getting oxidized and making them as available nutrients. Presence of moisture in soil (i.e., under wet soil conditions) during ploughing, allows bacteria to work better in breaking down the black organic matter, thus making the ploughing process more effective. Ploughing before liming is more useful and tilling after liming could enhance the soil pH. Ploughing the bottom soil with cultivator first and thereafter with rotavator proved better for oxidation of the soil and enhanced the availability of nutrients, released obnoxious gases and decomposition was greater. Rotavator makes smaller lumps of soil which provides better oxidation and minimizes seepage."
How should one decide the disinfection dose for initial pond water? How should bleaching be done?," Disinfection of initial water taken to the pond is essential to kill unwanted organisms, pathogens and their hosts. Otherwise there is every chance that vectors of pathogens could enter through the water. Generally 20-30 ppm chlorine (600 kg of bleaching powder/ha) is used as no microbes or its hosts could survive such a chlorination dose.However, ascertaining the organic load in the source water (chlorine demand) and chlorine percentage in the bleaching powder would be better indicators to decide the chlorination dose."
Does bleaching affect the efficiency of minerals present in the water during disinfection?,No. Disinfection of pond water with bleaching powder will not affect the efficiency of minerals present in the water.
Does the ground water also require disinfection?,"Disinfection is carried out to kill unwanted organisms, pathogens and their hosts. Since bore well water may not have any of these, disinfection is not required for ground water"
Do we need to apply lime after disinfecting the initial pond water to adjust the pH?,"Liming of shrimp ponds is done to neutralize soil acidity, increase the total alkalinity, total hardness concentration and enhance the primary food productivity in the pond water. When the soil pH is below 7 and the total alkalinity is less than 60 ppm liming is required. Agricultural limestone (CaCO3 ) is a safe product. Extra care is required if lime is applied in the form of burnt lime (CaO) and hydrated lime (calcium hydroxide) . If they are excessively used, the pH would tend to be very high which is dangerous. To increase the pH by 0.1, we need to apply approximately 50 kg of CaO or Ca(OH)2 or 100 kg of CaCO3. If the soil pH is more than 7 and the total alkalinity more than 60 ppm application of lime is not necessary. In case of slight adjustment of pH during pre-stocking preparations, dolomite (calcium and magnesium carbonate) can be used this would help in plankton development. In low saline waters, liming can improve phosphorus availability and enhance the pond productivity."
Is aeration before stocking is necessary?,"Farmers apply fermented organic juice for the development of phytoplankton and minerals in case of low saline cultures to keep the optimum mineral requirements. In order to mix these uniformly throughout the pond, minimum aeration is required with at least 2 paddle wheel aerators at the corners of the pond"
"How does application of fermented juice help in improving
the water quality?","Application of fermented juice enhances the population of beneficial bacteria. The bacteria require protein for its metabolic activity and the protein is synthesized by using the ammoniacal nitrogen present in the pond water. Thereby it reduces the ammonia level in the pond and improves water quality. Further, the fermented juice helps in lowering the high pH to the desired level and enhances the development of plankton food."
"Farmers apply molasses instead of fermented juice. Which one is more effective for water
culture?","Molasses contain more carbohydrates thereby enabling the growth of beneficial bacteria in higher density. Since molasses is not freely available to the farmers coupled with a higher requirement of aeration after its application, the use of fermented juice is more acceptable to the farmers."
What is C: N ratio and its significance in P. vannamei shrimp farming?,"C: N ratio is the ratio of carbon and nitrogen in the pond water and a ratio of 10:1 normally exists in shrimp ponds. However, in case of P. vannamei due to the high stocking densities, more nitrogenous waste is generated in the form of ammonia and nitrite which deteriorates the water quality. To minimize this problem, carbon sources in the form of fermented juice or molasses is applied which act as a medium for the growth of beneficial bacteria enhancing the C: N ratio to the level of 20:1.These beneficial
bacteria require nitrogen to produce proteins for their metabolic activity and development and absorb nitrogen from the ammonia or from the fecal waste which is the source of nitrogen. Due to this, the harmful ammonia and nitrite are converted to proteins by the bacteria. Further, this bacteria forms €œbio-floc€ by adhering to the dead cells, inert materials thereby becomes the feed for P. vannamei shrimp. Hence, the feed quantity requirement can also be reduced considerably. The C: N ratio needs to be checked fortnightly and has to be maintained."
What is biofloc and explain the procedure to develop and maintain the same in simple terms?,"Biofloc is a consortium of macro-aggregates consisting of diatoms, macroalgae, fecal pellets, exoskeleton, remnants of dead organisms, bacteria, protest and invertebrates. A 10- 15ml/litre level of (imhoff cone) biofloc should be maintained in the shrimp pond. Addition of organic carbon in the form of fermented solution or molasses acts as a medium for the enhanced production of beneficial bacteria which absorb inorganic nitrogen from the pond water immobilizing the potentially toxic ammonia and nitrite. This system reduces the total ammonia nitrogen (TAN) thereby decreasing the organic load at the pond bottom which helps to keep hydrogen sulphide under control. Typically a biofloc pond starts as an autotrophic/algal dominated system and after a few days the water turns brown and foamy as floc develops and the system shifts to a heterotrophic system without much algae.The advantages of this system are: zero/minimal water exchange system, insitu bioremediation
to maintain water quality, augmentation of natural food and improvement of FCR, non-use of chemicals and other medicines and negligible environmental impact. Protein requirements in feed could be brought down in these systems and the cost of production in terms of feed would be less. Biofloc system may have 5-10% excess carrying capacity, gain by 2 g in ABW, low FCR and lower production cost by 10-15%. However, it requires, high aeration up to 28HP/ha, continuous (24x7) electricity, full/semi HDPE lined ponds and trained technicians."
Whether biofloc system is feasible for a small scale P. vannamei culture?,"In case of small scale farming with a moderate stocking density of 20-30 PL/m2 it may not be required. Optimum stocking, proper feed management and efficient water quality (pH, DO, minerals, bottom metabolites) management are sufficient for problem-free shrimp farming.
"
Whether P. vannamei farming requires deep ponds with a central drainage system?,"White shrimp P. vannamei is a column dweller and not a bottom dweller like tiger shrimp. Further,in case of P. vannamei, high stocking density up to 60 PL/m2
is practiced, hence it requires deep ponds having 1.5 m water column. Central drainage system would help in removing accumulated sludge."
What is the carrying capacity of a shrimp pond and how do you arrive at an optimum stocking density for a pond culturing P. vannamei?,"It is the optimal biomass (tonnes of shrimp/ha) holding capacity of the pond. Carrying capacity of a shrimp pond is dependent upon many factors like biosecurity, electricity, aeration, water quality, quality of inputs, practices followed, technical and management capacity of the individual farmer and other extraneous factors. Based on the experience, a farmer should decide the optimum stocking density for the pond within the permitted level."
"Whether P. vannamei farming needs a modification/alteration in pond design? If yes, how?","Yes. P. vannamei culture pond should have a water column of 1.5 m depth. Since P. vannamei is stocked at higher densities, it requires higher level of aeration for a longer time for water circulation and maintaining the optimum required level. Continuous aeration might cause erosion of bunds and hence adequate compaction of the dykes is essential. HDPE lining of dykes would minimize erosion. Besides, full time (24x7) electricity, generator back up and biosecurity measures are essential."
How does ageing of pond water prior to stocking help in culture and what are its advantages?,"The white spot virus can survive as free living form in water up to 12 days. Ageing of pond water after chlorination and de-chlorination will help in removing them. After 12 days, addition of fermented juice is beneficial due to enhanced bacterial growth in adequate quantity and has abundant primary productivity."
What is SPF P. vannamei shrimp?,"The seeds produced from the Specific pathogen free (SPF) P. vannamei shrimp brood stock are known as SPF P. vannamei.These SPF broodstocks are developed under rigorous quarantine and screening of pathogens over several generations from the SPF mother/founder broodstocks. Countries or regions which still do not have this species can be reasonably sure that the importation of SPF animals will not result in the introduction of the specified pathogens for which the animal is declared €œfree€. This does not, however, guarantee against the animal being infected with known /unknown pathogens which are not screened against during the SPF programme.
"
How far SPF P. vannamei status last long?,"SPF means that the animals have been assured of being free from specific pathogens at the particular point of time. It is a wrong belief that SPF animals are resistant to and cannot become infected by any viral pathogens that shrimp encounter during culture. Once the animals are removed from the SPF production facilities, they can no-longer be referred to as SPF, even though they may remain pathogen free. Once outside the SPF facility, the shrimp may be designated as High Health (HH) as they are now subject to a greater risk of infection, but only if they are placed into a wellestablished facility with a history of disease surveillance and biosecurity protocols. If the shrimp are put anywhere else, for example into a non-biosecure maturation unit, hatchery or farm, they can no longer be called SPF or HH as they are now exposed to a high risk of infection. It was reported that SPF P. vannamei broodstocks are easier to spawn than pond-raised brood stock and their offspring perform better in terms of higher survival rates."
What are the standard ways for the farmers to check for various Parameters while selecting Shrimp seed?," The shrimp farmers should adopt the following measures to ensure the selection of quality seed.
1)The hatchery should have registration for P. vannamei seed production and import of brood stock.
2)Physical stress test: Collect a larval sample (approximately 100 PLs) from the bottom of the identified larval tank put them in a tub and rotates the
water. If many seeds are concentrating at the center of the tub, reject the animals from this larval tank.
3)Salinity stress test: Collect about 100 PL in a beaker with animals from a tank having the optimum salinity. Pour equal quantity of freshwater and wait for half an hour. If
you find any mortality reject the animals from that tank.
4)Formalin stress test: Collect 100 PL of P. vannamei shrimp seed from the selected tank and put them in 100 ppm formalin water and wait for an hour. If more than 90% of the
seed survive, select that batch.
5)The hatchery should have quarantine, adequate bio-security, required infrastructure and follow the standard operating procedures fully.
6)The seed selected should be from a single spawning and should be from the first or second spawning of the specified mother brooder. Seeds from mixed spawning lead to
low survival and size variation.
7)Seed should be PCR screened for known pathogens (WSSV, EMS etc.) before selection.
8)After selecting the seed lot, it should be gradually acclimatized (2 to 3 salinity in a day) to the pond water salinity. Rapid acclimatization leads to stress and low survival in the farm.
9) Obtain 100 PL from the selected stock and put in a hapa in the pond and if the lot has a survival of ‰¥ 90% only then should the farmer buy the seed. Otherwise choose another lot and repeat the process until the above condition is met.
10)Farmers from a shrimp cluster should procure seeds collectively through their association from a reputed and trusted hatchery. They should stay in the hatchery to closely monitor the seed production process. PCR screening of mother brooder before and after spawning would be extremely helpful in preventing diseases."
Is it possible to differentiate SPF seed vis-Ã -vis seed from a pond-reared brood stock?,It is not possible to differentiate SPF and non-SPF seed by observation.
"Whether nursery rearing enhances the survival and growth in P. vannamei farming? If so, give the details of nursery rearing?","It was observed that nursery rearing enhances the seed survival up to 95-99% by making the seed healthy and strong. Prepare the pond similar to that for grow out culture pond preparation with scraping, ploughing, liming, water in-letting, chlorination, de-chlorination, plankton production by applying dolomite, fermented juice, required minerals and probiotics. Stock quality P. vannamei PL 10-12 size @ 1000/m2 and feed @ 1kg of starter feed per one lakh PL from the day one. Increase daily feeding rate @200 g per lakh seed. Give feed no.1 for initial 10 days, a combination of feed no.1 and 2 during 10-20 days and after 20 days provide feed no.2 only. Provide aeration for 4 hours in the forenoon and 8 hours from 10.00P.M. It was observed that a growth rate of 2.5 to 3 g is achieved in 25-30 days of nursery rearing. Water quality monitoring for DO, pH, bottom metabolites-ammonia, nitrite and H2 S is very crucial. After 30 days, shift the seed from the nursery to grow-out pond using drag or scoop net."
What are the reasons for low seed survival in P. vannamei ponds? How can you ensure better/higher survival rate?,"Poor seed quality, poor acclimatization and poor water quality are the reasons for low survival. Select and procure quality seed by strictly following the CAA guidelines and the
standard protocol. Gradual acclimatization of PL to pond salinity is very important and should be achieved to the level of 1-2 ppt per day at the hatchery itself before packing. Maintain the
pond water quality parameters within the optimum range."
How much feed should be given to farmed shrimp?,"The amount of feed given to farmed shrimp can vary depending on several factors, including the species of shrimp, their life stage, environmental conditions, and the specific farming system being used. Feeding practices in shrimp farming aim to provide the necessary nutrients for growth while minimizing waste and environmental impact. Here are some general guidelines:

Juvenile Shrimp: When shrimp are in their early stages (post-larvae and juveniles), they are typically fed multiple times a day with small, frequent feedings. The feed quantity is usually a percentage of their body weight, ranging from 5% to 10% per day. The feed is often in the form of commercial pellets or formulated diets specifically designed for shrimp.

Adult Shrimp: As shrimp grow and reach maturity, the frequency and amount of feeding may be adjusted. In intensive farming systems, adult shrimp are often fed once or twice a day, and the feed amount is typically around 2% to 5% of their total body weight per day. The feed can consist of commercial pellets, formulated diets, or a combination of natural feeds and supplementary feeds.

It's important to note that the feed quantity should be carefully monitored to avoid overfeeding, which can lead to poor water quality, disease outbreaks, and increased production costs. Additionally, the nutritional composition of the feed should be balanced and appropriate for the specific species and life stage of the shrimp being cultured."
